ranking;project;language;stars;stars_today;forks
1;glanceapp/glance;Go;18294;2158;651
2;patchy631/ai-engineering-hub;Jupyter Notebook;5589;416;1053
3;DiceDB/dice;Go;8936;462;1244
4;langchain-ai/ollama-deep-researcher;Python;5141;1205;529
5;tj-actions/changed-files;TypeScript;2299;124;255
6;graviraja/MLOps-Basics;Jupyter Notebook;6836;164;1173
7;donnemartin/system-design-primer;Python;293070;413;48738
8;block/goose;Rust;10322;242;729
9;makeplane/plane;TypeScript;33981;124;2085
10;wmariuss/awesome-devops;Python;2523;48;407
